Bangla,Transliteration,Translation
আসা,Āsā,Come
পাওয়া,Pā'ōẏā,Find
দেওয়া,Dē'ōẏā,Give
যাওয়া,Yā'ōẏā,Go
রাখা,Rākhā,Keep
করা,Karā,Do
রাখা,Rākhā,Put
গ্রহণ করা,Grahaṇa karā,Take
পরে,Parē,After
মধ্যে,Madhyē,In
আগে,Āgē,Before
নিচে,Nicē,Down
উপরে,Uparē,Above
থেকে,Thēkē,From
ভিতরে,Bhitarē,Inside
আছে,Āchē,There is
বল,Bala,Say
দেখা,see,See
পাঠান,Pāṭhāna,Send
সম্পর্কিত,Samparkita,Related
জুড়ে,Juṛē,Throughout
বন্ধ,Bandha,Closed
চালু,Cālu,Opened
উপর,Upara,Over
কি?,Ki?,What?
কখন?,Kakhana?,When? 
কোথায়?,Kōthāẏa?,Where?
কিভাবে?,Kibhābē?,How?
কেন?,Kēna?,Why?
কত?,Kata?,How much?
আমি,āmi,I
তুমি,tumi,You
সে,sē,She
সে,sē,He
এটা,ēṭā,it 
আমরা,āmarā,we 
তোমরা ,tōmarā,you 
তারা ,tārā,they 
না ,nā,No
এটা ,ēṭā,this 
দাম কত?,dāma kata?,How much?
কারণ,kāraṇa,because 
দশ,daśa,Ten
এক,ēka,One
দুই,du'i,Two
তিন,tina,Three
চার,cāra,Four
পাঁচ,pām̐ca,Five
ছয়,chaẏa,Six
সাত,sāta,Seven
আট,āṭa,Eight
নয়,naẏa,Nine
